id,artist,title,lyrics,
232, Lady Gaga,LoveGame,"Let's have some fun, this beat is sick
I wanna take a ride on your disco stick
Let's have some fun, this beat is sick
I wanna take a ride on your disco stick
I wanna kiss you
But if I do, then I might miss you, babe
It's complicated and stupid
Got my ass squeezed by sexy Cupid
Guess he wants to play, wants to play
A Love Game, a Love Game
Hold me and love me
Just wanna touch you for a minute
Maybe three seconds is enough for my heart to quit it
Let's have some fun, this beat is sick
I wanna take a ride on your disco stick
Don't think too much, just bust that kick
I wanna take a ride on your disco stick
Let's play a Love Game, play a Love Game
Do you want love, or you want fame?
Are you in the game?
Down the Love Game
Let's play a Love Game, play a Love Game
Do you want love, or you want fame?
Are you in the game?
Down the Love Game
I'm on a mission
And it involves some heavy touching, yeah
You've indicated your interest
I'm educated in sex, yes
And now I want it bad, want it bad
A Love Game, a Love Game
Hold me and love me
Just wanna touch you for a minute
Maybe three seconds is enough for my heart to quit it
Let's have some fun, this beat is sick
I wanna take a ride on your disco stick
Don't think too much, just bust that kick
I wanna take a ride on your disco stick
Let's play a Love Game, play a Love Game
Do you want love, or you want fame?
Are you in the game?
Down the Love Game
Let's play a Love Game, play a Love Game
Do you want love, or you want fame?
Are you in the game?
Down the Love Game
I can see you staring there from across the block
With a smile on your mouth, and your hand on your huh!
The story of us, it always starts the same
With a boy, and a girl, and a huh, and a game
And a game, and a game, and a game
A Love Game
Let's play a Love Game, play a Love Game
Do you want love, or you want fame?
Are you in the game?
Down the Love Game
Let's play a Love Game, play a Love Game
Do you want love, or you want fame?
Are you in the game?
Down the Love Game
Let's play a Love Game, play a Love Game
Do you want love, or you want fame?
Are you in the game?
Let's have some fun, this beat is sick (down the Love Game)
I wanna take a ride on your disco stick
Let's play a Love Game, play a Love Game
Do you want love, or you want fame?
Are you in the game?
Don't think too much, just bust that kick (down the Love Game)
I wanna take a ride on your disco stick
Down the Love Game",
233,Sir Mix-A-Lot,Baby Got Back,"Oh my God Becky, look at her butt
It is so big, she looks like
One of those rap guys' girlfriends
But, ya know, who understands those rap guys?
They only talk to her, because
She looks like a total prostitute, okay?
I mean, her butt, it's just so big
Uh, I can't believe it's just so round, it's like out there
I mean, uh, gross, look
She's just so, black
I like big butts and I cannot lie
You other brothers can't deny
That when a girl walks in with an itty bitty waist
And a round thing in your face
You get sprung, want to pull up tough
'Cause you noticed that butt was stuffed
Deep in the jeans she's wearing
I'm hooked and I can't stop staring
Oh baby, I wanna get wit'cha
And take your picture
My homeboys tried to warn me
But that butt you got makes (me, me so horny)
Ooh, Rump-o'-smooth-skin
You say you want to get in my Benz?
Well, use me, use me
'Cause you ain't that average groupie
I've seen her dancin'
To hell with romancin'
She's sweat, wet
Got it goin' like a turbo 'Vette
I'm tired of magazines
Sayin' flat butts are the thing
Take the average black man and ask him that
She gotta pack much back
So, fellas (yeah) fellas (yeah)
Has your girlfriend got the butt? (Hell yeah)
Tell 'em to shake it (shake it) shake it (shake it)
Shake that healthy butt
Baby got back (L.A. face with the Oakland booty)
Baby got back (L.A. face with the Oakland booty)
(L.A. face with the Oakland booty)
I like 'em round, and big
And when I'm throwin' a gig
I just can't help myself, I'm actin' like an animal
Now here's my scandal
I wanna get ya home
And ugh, double-up, ugh, ugh
I ain't talkin' bout Playboy
'Cause silicone parts are made for toys
I want 'em real thick and juicy
So find that juicy double
Mix-a-lot's in trouble
Beggin' for a piece of that bubble
So I'm lookin' at rock videos
Knock-kneed bimbos walkin' like hoes
You can have them bimbos
I'll keep my women like Flo Jo
A word to the thick soul sistas, I want to get with ya
I won't cuss or hit ya
But I gotta be straight when I say I wanna (uh)
'Til the break of dawn
Baby got it goin' on
A lot of simps won't like this song
'Cause them punks like to hit it and quit it
And I'd rather stay and play
'Cause I'm long, and I'm strong
And I'm down to get the friction on
So, ladies (yeah) ladies (yeah)
If you wanna roll in my Mercedes (yeah)
Then turn around, stick it out
Even white boys got to shout
Baby got back
Baby got back
Yeah, baby, when it comes to females
Cosmo ain't got nothin' to do with my selection
Thirty-six, twenty-four, thirty-six
Ha ha, only if she's 5'3
So your girlfriend rolls a Honda, playin' workout tapes by Fonda
But Fonda ain't got a motor in the back of her Honda
My anaconda don't want none
Unless you've got buns, hun
You can do side bends or sit-ups
But please don't lose that butt
Some brothers want to play that hard role
And tell you that the butt ain't gold
So they toss it and leave it
And I pull up quick to retrieve it
So Cosmo says you're fat
Well I ain't down with that
'Cause your waist is small and your curves are kickin'
And I'm thinkin' bout stickin'
To the beanpole dames in the magazines
You ain't it, Miss Thing
Give me a sista, I can't resist her
Red beans and rice didn't miss her
Some knucklehead tried to diss
'Cause his girls are on my list
He had game but he chose to hit 'em
And I pull up quick to get wit 'em
So ladies, if the butt is round
And you want a triple X throwdown
Dial 1-900-MIXALOT
And kick them nasty thoughts
Baby got back
Baby got back",
234, Jamie Foxx ft. T-Pain,Blame It on the Alcohol,"Deep
Blame it on the Goose, gotcha feelin' loose
Blame it on the 'Tr?n, got you in the zone
Blame it on the a-a-a-a-a-alcohol
Blame it on the a-a-a-a-a-a-a-a-a-alcohol

[Verse 1: Jamie Foxx]
Aye, she said she usually don't (don't)
But I know that she frontin'
Cause shawty know what she want
But she don't wanna seem like she easy
I hear you saying what you won't do (won't do)
But you know we're probably gon' do (gon' do)
What you been fiendin' deep insi-i-i-ide
Don't let u-u-up now

[Refrain: Jamie Foxx]
Girl what you drinkin'? Gon' let it sink in
Here for the weekend, thinkin' we can
See where we could be if we press fast forward
Just one more round, if you¡¦re down, I¡¦m pouring

[Pre-Chorus: Jamie Foxx]
Fill another cup up, feelin' on your butt, what
You don't even care now, I was unaware how
Fine you was before my buzz set in
My buzz set in

You might also like
Did you know that there¡¦s a tunnel under Ocean Blvd
Lana Del Rey
Seek & Destroy
SZA
F2F
SZA

[Chorus: Jamie Foxx]
Blame it on the Goose, gotcha feelin' loose
Blame it on the 'Tr?n, got you in the zone
Blame it on the a-a-a-a-a-alcohol
Blame it on the a-a-a-a-a-alcohol
Blame it on the vodka, blame it on the Henny
Blame it on the blue tap got you feeling dizzy
Blame it on the a-a-a-a-a-alcohol
Blame it on the a-a-a-a-a-a-a-a-a-alcohol

[Verse 2: Jamie Foxx]
Oopsie, she spilled some drink on me
And now I'm knowin' she tipsy
She put her body on me
And she keeps staring me right in my eyes
No tellin' what I'm gon' do
Baby I would rather show you
What you been missin' in your li-i-i-ife
When I get insi-i-i-ide

[Refrain: Jamie Foxx]
Girl what you drinkin'? Gon' let it sink in
Here for the weekend, thinkin' we can
See where we could be if we press fast forward
Just one more round, if you¡¦re down, I'm pourin'",
235, Justin Timerlake ft. Timbaland,SexyBack,"I'm bringin' sexy back (yeah)
Them other boys don't know how to act (yeah)
I think it's special, what's behind your back (yeah)
So turn around and I'll pick up the slack (yeah)
Take 'em to the bridge (that's it)
Dirty babe (uh-huh)
You see these shackles baby, I'm your slave (uh-huh)
I'll let you whip me, if I misbehave (uh-huh)
It's just that no one makes me feel this way (uh-huh)
Take 'em to the chorus
Come here girl (go 'head be gone with it)
Come to the back (go 'head be gone with it)
VIP (go 'head be gone with it)
Drinks on me (go 'head be gone with it)
Let me see what you're twerking with (go 'head be gone with it)
Look at those hips (go 'head be gone with it)
You make me smile (go 'head be gone with it)
Go 'head child (go 'head be gone with it)
And, get your sexy on (go 'head be gone with it)
Get your sexy on (go 'head be gone with it)
Get your sexy on (go 'head be gone with it)
Get your sexy on (go 'head be gone with it)
Get your sexy on (go 'head be gone with it)
Get your sexy on (go 'head be gone with it)
Get your sexy on (go 'head be gone with it)
Get your sexy on
I'm bringin' sexy back (yeah)
Them other fuckers don't know how to act (yeah)
Come let me make up for the things you lack (yeah)
'Cause you're burning up, I gotta get it fast (yeah)
Take 'em to the bridge (that's it)
Dirty babe (uh-huh)
You see these shackles baby, I'm your slave (uh-huh)
I'll let you whip me, if I misbehave (uh-huh)
It's just that no one makes me feel this way (uh-huh)
Take 'em to the chorus
Come here girl (go 'head be gone with it)
Come to the back (go 'head be gone with it)
VIP (go 'head be gone with it)
Drinks on me (go 'head be gone with it)
Let me see what you're twerking with (go 'head be gone with it)
Look at those hips (go 'head be gone with it)
You make me smile (go 'head be gone with it)
Go 'head child (go 'head be gone with it)
And, get your sexy on (go 'head be gone with it)
Get your sexy on (go 'head be gone with it)
Get your sexy on (go 'head be gone with it)
Get your sexy on (go 'head be gone with it)
Get your sexy on (go 'head be gone with it)
Get your sexy on (go 'head be gone with it)
Get your sexy on (go 'head be gone with it)
Get your sexy on
You ready?
You ready?
You ready?
(Uh) yes
I'm bringin' sexy back (yeah)
You motherfuckers watch how I attack (yeah)
If that's your girl, better watch your back (yeah)
'Cause she'll burn it up for me, and that's a fact (yeah)
Take 'em to the chorus
Come here girl (go 'head be gone with it)
Come to the back (go 'head be gone with it)
VIP (go 'head be gone with it)
Drinks on me (go 'head be gone with it)
Let me see what you're twerking with (go 'head be gone with it)
Look at those hips (go 'head be gone with it)
You make me smile (go 'head be gone with it)
Go 'head child (go 'head be gone with it)
And, get your sexy on (go 'head be gone with it)
Get your sexy on (go 'head be gone with it)
Get your sexy on (go 'head be gone with it)
Get your sexy on (go 'head be gone with it)
Get your sexy on (go 'head be gone with it)
Get your sexy on (go 'head be gone with it)
Get your sexy on (go 'head be gone with it)
Get your sexy on
You ready? Yes
You ready? Yes
Yes",
236,Young Money,BedRock,"I-I-I-I can make your bed rock (Young Money)
I-I-I-I can make your bed rock, girl (Kane is in the building, nigga)
I-I-I-I can make your bed rock
I-I-I-I can make your (bed rock)
Uh, the got that good good, she Michael Jackson bad
I'm attracted to her, with her attractive ass
And now we murderers, because we kill time
I knock her lights out, and she still shine
I hate to see her go, but I love to watch her leave
But I keep her running back and forth, soccer team
Cold as a winters day, hot as a summer's eve
Young Money thieves
Steal your love and leave
I like the way you walkin', if you walkin' my way
I'm that Red Bull, now let's fly away
Let's buy a place, with all kind of space
I let you be the judge, an-an-and I'm the case
I'm Gudda Gudda, I put her under
I see me with her, no Stevie Wonder
She don't even wonder, 'cause she know she bad
And I got her nigga, grocery bag
Ooh, baby
I be stuck to you like glue, baby
Wanna spend it all on you, baby
My room is the G-spot
Call me Mr. Flintstone I can make your bed rock (ooh)
I-I-I-I can make your bed rock (ooh)
I-I-I-I can make your bed rock, girl (ooh)
I-I-I-I can make your bed rock (ooh)
I-I-I-I can make your (bed rock)
Okay, I get it
Let me think, I guess it's my turn?
Maybe it's time to put this pussy on ya sideburns
He say I'm bad, he probably right
He pressing me like button downs on a Friday night
I'm so pretty like
Be on my pedal bike
Be on my low starch, be on my eggo whites
He say, ""Nicki don't stop, you the bestest""
And I just be coming off the top, asbestos
I love ya sushi roll, hotter than wasabi
I race for your love, ""Shake'n Bake"" Ricky Bobby
I'm at the W but I can't meet you in the lobby
Girl, I gotta watch my back, 'cause I'm not just anybody
I seen 'em stand in line, just to get beside her
I let her see the Aston, and let the rest surprise her
That's when we disappear, and you need GPS to find her
Oh, that was your girl? I thought I recognized her
Ooh, baby
I be stuck to you like glue, baby
Wanna spend it all on you, baby
My room is the G-spot
Call me Mr. Flintstone I can make your bed rock (ooh)
I-I-I-I can make your bed rock (ooh)
I-I-I-I can make your bed rock, girl (ooh)
I-I-I-I can make your bed rock (ooh)
I-I-I-I can make your (bed rock)
She like tanning, I like staying in
She like romancing, I like rollin' with friends
She said I'm caged in I think her conscience is
She watching that Oxygen, I'm watching ESPN
But when that show end, she all on my skin, lotion
Slower motions, roller coastin'
Like back forth hold it (hold it, hold it, hold it, hold it)
She pose like it's for posters, and I poke like I'm suppose to
Take this photo if you for me, she said, ""Don't you ever show this""
I'm too loyal and too focused
To be losing and be hopeless
When I spoke this she rejoiced it
Said your word get me open, so I closed it
Where your clothes is? I'm only lovin' for the moment
Uh, she ain't got a man but she's not alone
Miss Independent, yeah, she got her own
Hey gorgeous, um, I mean flawless
Well, that's what you are, how I see it is how I call it, yeah
L-Look at how she walk, mm-hmm, she know she bad
D-Do your thing, baby, I ain't even mad
And I ain't leavin' fast, I'ma stay a while
Hold ya head Chris, I-I'ma take her down
Ooh, baby
I be stuck to you like glue, baby
Wanna spend it all on you, baby
My room is the G-spot
Call me Mr. Flintstone I can make your bed rock (ooh) (Young Money, yeah)
I-I-I-I can make your bed rock (ooh)
I-I-I-I can make your bed rock, girl (ooh) (Gudda Gudda, T-Streets)
I-I-I-I can make your bed rock (ooh) (Mack Maine, J Millz)
I-I-I-I can make your (bed rock) (Tyga Tyga)
Ooh, baby (Drizzy Drake)
I be stuck to you like glue, baby (Nicki Minaj, hey Chanel)
Wanna spend it all on you, baby (Lil' Twist, Lil' Chuckee)
My room is the G-spot (and young Lloyd, ayy)
Call me Mr. Flintstone I can make your bed rock (ooh)
I-I-I-I can make your bed rock (ooh) (we Young Money)
I-I-I-I can make your bed rock, girl (ooh)
I-I-I-I can make your bed rock (ooh)
I-I-I-I can make your (bed rock) (ayy)",
237,Akon ft. Eminem,Smack That,"[Intro: Akon & Eminem]
Shady (Shady)
Konvict (Konvict), Upfront (Upfront)
Akon (Akon), Slim Shady (Slim Shady)
I see the one (I see the one)
Could she be that lady? (That lady)
Ayy

[Pre-Chorus: Akon]
I feel you creepin', I can see it from my shadow (Shadow)
Wanna jump up in my Lamborghini Gallardo? (Gallardo)
Maybe go to my place and just kick it like Tae Bo? (Tae Bo)
And possibly bend you over?
Look back and watch me

[Chorus: Akon]
Smack that (Smack that), all on the floor
Smack that (Smack that), give me some more
Smack that (Smack that), 'til you get sore
Smack that (Smack that), oh-oh-oh-oh-oh
Smack that (Smack that), all on the floor
Smack that (Smack that), give me some more
Smack that (Smack that), 'til you get sore
Smack that, oh-oh-oh-oh-oh

[Verse 1: Akon]
Upfront style, ready to attack now
Pull in the parking lot slow with the 'Lac down
Konvict's got the whole thing packed now
Step in the club, the wardrobe intact now
I feel it, dawnin' cracked now (Oh)
Ooh, I see it dull and backed now
I'ma call her, then I put the mack down
Money no problem, pocket full of that now (That now)

You might also like
Say Don¡¦t Go (Taylor¡¦s Version) [From The Vault]
Taylor Swift
Vultures
?$, Kanye West & Ty Dolla $ign
Jingle Bells
Christmas Songs

[Pre-Chorus: Akon]
I feel you creepin', I can see it from my shadow (Shadow)
Wanna jump up in my Lamborghini Gallardo? (Gallardo)
Maybe go to my place and just kick it like Tae Bo? (Tae Bo)
And possibly bend you over?
Look back and watch me

[Chorus: Akon]
Smack that (Smack that), all on the floor
Smack that (Smack that), give me some more
Smack that (Smack that), 'til you get sore
Smack that (Smack that), oh-oh-oh-oh-oh
Smack that (Smack that), all on the floor
Smack that (Smack that), give me some more
Smack that (Smack that), 'til you get sore
Smack that, oh-oh-oh-oh-oh

[Verse 2: Eminem]
Oh, looks like another club banger
They better hang on when they throw this thang on
Get a little drink on, they gon' flip
For this Akon shit, you can bank on it
Pedicure, manicure, kitty-cat claws
The way she climbs up and down them poles
Lookin' like one of them Putty-Cat Dolls
Tryin' to hold my woodie back through my drawers
Steps off stage, didn't think I saw her
Creeps up behind me, and she's like ""You're¡X""
I'm like, ""I know, let's cut to the chase
No time to waste, back to my place""
Plus from the club to the crib's like a mile away
Or more like a palace, shall I say
And plus, I got a pal if your gal is game
In fact, he's the one singin' the song that's playin' (Akon!)


[Pre-Chorus: Akon]
I feel you creepin', I can see it from my shadow (My shadow)
Wanna jump up in my Lamborghini Gallardo? (Gallardo)
Maybe go to my place and just kick it like Tae Bo? (Like Tae Bo?)
And possibly bend you over? (Ooh, yeah)
Look back and watch me

[Chorus: Akon]
Smack that (Smack that), all on the floor
Smack that (Smack that), give me some more
Smack that (Smack that), 'til you get sore (Sore)
Smack that (Smack that), oh-oh-oh-oh-oh
Smack that (Smack that), all on the floor
Smack that (Smack that), give me some more (Yeah)
Smack that (Smack that), 'til you get sore
Smack that, oh-oh-oh-oh-oh (Yeah, yeah)

[Verse 3: Akon]
Eminem's rollin', D and 'em rollin'
Bu and all marvelous, them rollin'
Women just ho-in', big booty rollin'
Soon, I'll be all in them and throwin' D (D)
Hittin' no less than three (Three)
Block wheel style like whee (Whee)
Girl, I can tell you want me, 'cause lately


[Pre-Chorus: Akon]
I feel you creepin', I can see it from my shadow (Yeah, my shadow)
Wanna jump up in my Lamborghini Gallardo? (Gallardo)
Maybe go to my place and just kick it like Tae Bo? (Like Tae Bo?)
And possibly bend you over? (Ooh, yeah)
Look back and watch me

[Chorus: Akon]
Smack that (Smack that), all on the floor
Smack that (Smack that), give me some more
Smack that (Smack that), 'til you get sore
Smack that (Smack that), oh-oh-oh-oh-oh
Smack that (Smack that), all on the floor
Smack that (Smack that), give me some more
Smack that (Smack that), 'til you get sore
Smack that, oh-oh-oh-oh-oh",
238,Black-Eyed Peas,My Humps,"Whatcha gon' do with all that junk
All that junk inside your trunk?
I'ma get, get, get, get you drunk
Get you love drunk off my hump
My hump, my hump, my hump, my hump, my hump
My hump, my hump, my hump, my lovely little lumps
Check it out
I drive these brothers crazy
I do it on the daily
They treat me really nicely
They buy me all these iceys
Dolce & Gabbana
Fendi and that Donna
Karan they be sharin'
All their money got me wearing fly
Gear but I ain't askin'
They say they love my ass in
Seven Jeans, True Religion
I say no but they keep givin'
So I keep on takin'
And no I ain't taken
We can keep on datin'
Now keep on demonstratin'
My love (love), my love, my love, my love (love)
You love my lady lumps (love)
My hump, my hump, my hump (love)
My humps they got you
She's got me spending
Oh, spending all your money on me
And spending time on me
She's got me spending
Oh, spending all your money on me
On-on me, on me
Whatcha gon' do with all that junk
All that junk inside that trunk?
I'ma get, get, get, get you drunk
Get you love drunk off my hump
Whatcha gon' do with all that ass
All that ass inside them jeans?
I'ma make, make, make, make you scream
Make you scream, make you scream
'Cause of my hump (hump), my hump, my hump, my hump (what?)
My hump, my hump, my hump (hump), my lovely lady lumps
Check it out
I met a girl down at the disco
She said, ""Hey, hey, hey, yeah, let's go""
I could be ya baby, you could be my honey
Let's spend time not money
And mix your milk with my coco puff
Milky, milky coco
Mix your milk with my coco puff
Milky, milky
Right
They say I'm really sexy
The boys they wanna sex me
They always standin' next to me
Always dancin' next to me
Tryin' to feel my hump, hump
Lookin' at my lump, lump
You can look but you can't touch it
If you touch it
I'ma start some drama
You don't want no drama
No, no drama, no, no, no, no drama
So don't pull on my hand, boy
You ain't my man, boy
I'm just tryin' to dance, boy
And move my hump
My hump, my hump, my hump, my hump
My hump, my hump, my hump, my hump, my hump, my hump
My lovely lady lumps (lump)
My lovely lady lumps my lovely lady lumps (lump)
In the back and in the front
(Lump) My loving got you
She's got me spending
Oh, spending all your money on me
And spending time on me
She's got me spending
Oh, spending all your money on me
On-on me, on me
Whatcha gon' do with all that junk
All that junk inside that trunk?
I'ma get, get, get, get you drunk
Get you love drunk off my hump
Whatcha gon' do with all that ass
All that ass inside them jeans?
I'ma make, make, make, make you scream
Make you scream, make you scream
Whatcha gon' do with all that junk
All that junk inside that trunk?
I'ma get, get, get, get you drunk
Get you love drunk off this hump
Whatcha gon' do with all that breast
All that breast inside that shirt?
I'ma make, make, make, make, you work
Make you work, work, make you work
She's got me spending
Oh, spending all your money on me
And spending time on me
She's got me spending
Oh, spending all your money on me
On-on me, on me
So real (so real), so real (so real)
So real (so real), so real (so real)
So real (so real), so real (so real)
So real (so real), so real (so real)
So real (so real), so real (so real)
So real (so real), so real (so real)
So real (so real), so real (so real)
So real (so real), so real (so real)
So real (so real)",
239, Christina Aguilera,Genie in a Bottle,"Come on, come on
Uh, yeah
Come on, come on, uh
I feel like I've been locked up tight
For a century of lonely nights
Waiting for someone to release me
You're lickin' your lips
And blowing kisses my way
But that don't mean I'm gonna give it away
Baby, baby, baby (baby, baby, baby)
Oh, oh, oh
My body's sayin' let's go
Oh, oh, oh
But my heart is sayin' no
If you wanna be with me
Baby, there's a price to pay
I'm a genie in a bottle
You gotta rub me the right way
If you wanna be with me
I can make your wish come true
You gotta make a big impression (oh yeah)
Gotta like what you do
I'm a genie in a bottle, baby
Gotta rub me the right way, honey
I'm a genie in a bottle, baby
Come come, come on and let me out
The music's fading and the lights down low
Just one more dance and then we're good to go
Waiting for someone who needs me
Hormones racing at the speed of light
But that don't mean it's gotta be tonight
Baby, baby, baby (baby, baby, baby)
Oh, oh, oh
My body's sayin' let's go
Oh, oh, oh
But my heart is sayin' no (but my heart is sayin' no)
If you wanna be with me
Baby, there's a price to pay
I'm a genie in a bottle (I'm a genie in a bottle)
You gotta rub me the right way
If you wanna be with me (oh)
I can make your wish come true (your wish come true oh)
Just come and set me free, baby
And I'll be with you
I'm a genie in a bottle, baby
Gotta rub me the right way, honey
I'm a genie in a bottle, baby
Come come, come on and let me out
I'm a genie in a bottle, baby
Gotta rub me the right way, honey
(If you wanna be with me)
I'm a genie in a bottle, baby
Come come, come on and let me out
Oh, oh, oh
My body's sayin' let's go
Oh, oh, oh
But my heart is sayin' no
If you wanna be with me
Baby, there's a price to pay
I'm a genie in a bottle (I'm a genie in a bottle)
You gotta rub me the right way
If you wanna be with me
I can make your wish come true
You gotta make a big impression
Gotta like what you do
If you wanna be with me
Baby, there's a price to pay
I'm a genie in a bottle (in a bottle baby)
You gotta rub me the right way
If you wanna be with me (if you wanna be with me)
I can make your wish come true
Just come and set me free, baby
And I'll be with you
I'm a genie in a bottle, baby
Come come, come on and let me out",
240,"Mya, Lil' Kim, P!nk, and Christina Aguilera",Lady Marmalade,"Where's all my soul sistas?
Lemme hear ya'll flow, sistas
Hey sista, go sista, soul sista, flow sista
Hey sista, go sista, soul sista, go sista
He met Marmalade down in old Moulin Rouge
Struttin' her stuff on the street
She said, ""Hello, hey Joe, you wanna give it a go?""
Oh, uh-huh
Gitchie, gitchie, ya-ya, da-da (hey, hey, hey)
Gitchie, gitchie, ya-ya, here (here)
Mocha Chocolata, ya-ya (ooh, yeah)
Creole Lady Marmalade
(What-what? What-what?)
Ooh, oh
Voulez-vous coucher avec moi, ce soir?
Voulez-vous coucher avec moi?
Yeah, yeah, yeah, yeah
He sat in her boudoir while she freshened up
Boy drank all that Magnolia wine
On her black satin sheets' where he started to freak, yeah
Gitchie, gitchie, ya-ya, da-da (da-da-da)
Gitchie, gitchie, ya-ya, here (ooh, yeah, yeah)
Mocha Chocolata, ya-ya (yeah, yeah)
Creole Lady Marmalade
Voulez-vous coucher avec moi, ce soir?
(Ce soir, what, what, what?)
Voulez-vous coucher avec moi? Ooh
Yeah, yeah, uh
We come through with the money and the garter belts
Let him know we 'bout that cake straight out the gate (uh)
We independent women, some mistake us for whores
I'm sayin', ""Why spend mine when I can spend yours?""
Disagree? Well, that's you, and I'm sorry
I'ma keep playing these cats out like Atari
Wear high heel shoes, get love from the dudes
Four badass chicks from the Moulin Rouge
Hey sistas, soul sistas, betta get that dough, sistas
We drink wine with diamonds in the glass
By the case, the meaning of expensive taste
If you wanna gitchie, gitchie, ya-ya (c'mon)
Mocha Chocolata (what?)
Creole Lady Marmalade
One more time, c'mon now
Marmalade (ooh)
Lady Marmalade (ooh, yeah, yeah)
Marmalade (no, yeah)
Hey, hey, hey
Touch of her skin, feeling silky smooth, hey
Color of caf? au lait, alright
Made the savage beast inside roar until he cried
More (more), more (more), more
Now he's back home doin' 9 to 5 (9 to 5)
He's livin' the grey flannel life
But when he turns off to sleep, memories creep
More (more), more (more), more
Gitchie, gitchie, ya-ya, da-da (da-da, yeah)
Gitchie, gitchie, ya-ya, here (ooh)
Mocha Chocolata (ohh), ya-ya (oh)
Creole Lady Marmalade
Voulez-vous coucher avec moi, ce soir? (Ce soir)
Voulez-vous coucher avec moi? (All my sistas, yeah)
Voulez-vous coucher avec moi, ce soir? (Ce soir)
Voulez-vous coucher avec moi, ohh (c'mon, uh)
Christina (hey, oh)
P!nk (Lady Marmalade)
Lil' Kim (hey, hey, uh, uh, uh, uh, uh, uh, uh)
Mya (oh-oh, oh, ohh)
Rockwilder, baby (baby)
Moulin Rouge (ooh-oh, da-duh, da-duh)
Misdemeanor here
Creole Lady Marmalade
Ooh, ooh-ooh, yes",
241,Pussycat Dolls ft. Will.i.am,Beep,"Ha, ha-ha, ha-ha
Ha, ha-ha, ha
Ha-ha, ha-ha, ha-ha
Ha, ha-ha, ha

It¡¦s funny how a man only thinks about the *BEEP*
You got a real big heart, but I¡¦m lookin¡¦ at ya *BEEP*
You got a real big brains, but I¡¦m lookin¡¦ at ya *BEEP*
Girl it ain¡¦t no pain, let me lookin¡¦ at ya *BEEP*
I don¡¦t give a *BEEP*
Keep lookin¡¦ at my *BEEP*
¡¥Cos it don¡¦t mean a thing if you lookin¡¦ at my *BEEP* (Hah)
I¡¦m a do my thing, while you playin¡¦ with ya *BEEP*
Hahahahahahaha

Every boys the same, since I¡¦ve been in seventh grade
They been tryin¡¦ to get with me, tryin¡¦ to (hahaha hahaha)
They always got a plan, to be my one ¡¥n¡¦ only man
Wanna hold me with their hands, wanna (hahaha hahaha)

I keep turnin¡¦ them down, but they always come around
Askin¡¦ me to go around, that¡¦s not the way it¡¦s goin¡¦ down
¡¥Cos they only want, only want, my (nahaha nahaha)
Only want what they want, but (nahaha nahaha)

It¡¦s funny how a man only thinks about the *BEEP*
You got a real big heart, but I¡¦m lookin¡¦ at ya *BEEP*
You got a real big brains, but I¡¦m lookin¡¦ at ya *BEEP*
Girl it ain¡¦t no pain, let me lookin¡¦ at ya *BEEP*
I don¡¦t give a *BEEP*
Keep lookin¡¦ at my *BEEP*
¡¥Cos it don¡¦t mean a thing if you lookin¡¦ at my *BEEP* (Hah)
I¡¦m a do my thing, while you playin¡¦ with ya *BEEP*
Hahahahahahaha

Do you know that ¡¥no¡¦ don¡¦t mean ¡¥yes¡¦, means ¡¥no¡¦?
So just hold up, wait a minute; let me put my two cents in ¡¥n¡¦ one!
Just be patient, don¡¦t be rushin¡¦ like ya anxioushin¡¦, two
You¡¦re just too aggressive, tryin¡¦ to get your (Ahh)

Do you know, that I know?
¡¥N¡¦ I don¡¦t, wanna go
Yeh they only want, only want, my (hahaha hahaha)
Only want what they want, but (nahaha nahaha)

It¡¦s funny how a man only thinks about the *BEEP*
You got a real big heart, but I¡¦m lookin¡¦ at ya *BEEP*
You got a real big brains, but I¡¦m lookin¡¦ at ya *BEEP*
Girl it ain¡¦t no pain, let me lookin¡¦ at ya *BEEP*
I don¡¦t give a *BEEP*
Keep lookin¡¦ at my *BEEP*
¡¥Cos it don¡¦t mean a thing if you lookin¡¦ at my *BEEP* (Hah)
I¡¦m a do my thing, while you playin¡¦ with ya *BEEP*
Hahahahahahaha

Ooh, you got it bad, I can tell
You want it bad, but don¡¦t yell
But what you got from me is somethin¡¦ I, somethin¡¦ I don¡¦t need
(Hey)

It¡¦s funny how a man only thinks about the *BEEP*
You got a real big heart, but I¡¦m lookin¡¦ at ya *BEEP*
You got a real big brains, but I¡¦m lookin¡¦ at ya *BEEP*
Girl it ain¡¦t no pain, let me lookin¡¦ at ya *BEEP*
I don¡¦t give a *BEEP*
Keep lookin¡¦ at my *BEEP*
¡¥Cos it don¡¦t mean a thing if you lookin¡¦ at my *BEEP* (Hah)
I¡¦m a do my thing, while you playin¡¦ with ya *BEEP*
Hahahahahahaha

It¡¦s funny how a man only thinks about the *BEEP*
You got a real big heart, but I¡¦m lookin¡¦ at ya *BEEP*
You got a real big brains, but I¡¦m lookin¡¦ at ya *BEEP*
Girl it ain¡¦t no pain, let me lookin¡¦ at ya *BEEP*
I don¡¦t give a *BEEP*
Keep lookin¡¦ at my *BEEP*
¡¥Cos it don¡¦t mean a thing if you lookin¡¦ at my *BEEP* (Hah)
I¡¦m a do my thing, while you playin¡¦ with ya *BEEP*
Hahahahahahaha *BEEP*",
